Product_ID,Product_Name,Product_Type,Validity_Days,Data_Limit_GB,Voice_Benefit,SMS_Limit,Price_INR,Launch_Date,Telecom_Company,Availability
PRD00025,UltraConnect 1545,Business,,,N/A,50/day,1545.25,2022-02-07,BharatNet Mobile,Discontinued
PRD00026,ValuePlus 1783,Broadband,,447.47,N/A,50/day,1783.01,2022-04-25,NextWave Communications,Discontinued
PRD00027,HomeFiber 2340,Business,,,N/A,500 total,2340.54,2022-08-11,IndiTel Communications,Active
PRD00028,NetBoost 1027,Prepaid,28.0,214.48,Unlimited,N/A,1027.07,2022-01-24,IndiTel Communications,Active
PRD00029,UltraConnect 1559,IoT Solutions,,,N/A,500 total,1559.03,2020-10-01,SkyCell Telecom,Active
PRD00030,IoTLink 693,Postpaid,365.0,9.36,500 mins,N/A,693.85,2024-11-08,BharatNet Mobile,Discontinued
PRD00031,IoTLink 785,Postpaid,28.0,61.23,1500 mins,500 total,785.3,2024-05-15,IndiTel Communications,Discontinued
PRD00032,SmartBiz 2166,Prepaid,365.0,170.88,Unlimited,50/day,2166.46,2024-03-20,IndiTel Communications,Discontinued
PRD00033,HomeFiber 1377,IoT Solutions,,,N/A,50/day,1377.91,2020-05-29,IndiTel Communications,Discontinued
PRD00034,SuperTalk 1106,Business,,,N/A,100/day,1106.94,2024-11-20,IndiTel Communications,Discontinued
PRD00035,DataMax 118,Postpaid,56.0,414.6,1500 mins,500 total,118.46,2022-09-05,IndiTel Communications,Active
PRD00036,UltraConnect 1560,IoT Solutions,,,N/A,500 total,1560.62,2021-08-02,SkyCell Telecom,Discontinued
PRD00037,DataMax 1007,Postpaid,84.0,236.99,Unlimited,100/day,1007.29,2024-04-11,SkyCell Telecom,Active
PRD00038,DataMax 2465,IoT Solutions,,,N/A,100/day,2465.45,2021-03-10,IndiTel Communications,Discontinued
PRD00039,DataMax 675,Postpaid,84.0,52.91,500 mins,50/day,675.13,2023-05-20,NextWave Communications,Discontinued
PRD00040,SuperTalk 1041,Postpaid,84.0,31.9,1500 mins,500 total,1041.87,2020-09-04,SkyCell Telecom,Discontinued
PRD00041,IoTLink 641,Business,,,N/A,100/day,641.01,2022-01-01,SkyCell Telecom,Discontinued
PRD00042,UltraConnect 1830,IoT Solutions,,,N/A,500 total,1830.06,2020-03-28,IndiTel Communications,Active
PRD00043,SuperTalk 2038,IoT Solutions,,,N/A,500 total,2038.42,2023-03-28,IndiTel Communications,Discontinued
PRD00044,DataMax 2014,Business,,,N/A,N/A,2014.45,2020-03-11,SkyCell Telecom,Active
PRD00045,IoTLink 731,Postpaid,56.0,269.66,Unlimited,N/A,731.5,2023-04-23,NextWave Communications,Discontinued
PRD00046,DataMax 1671,Broadband,,127.5,N/A,500 total,1671.49,2024-06-09,BharatNet Mobile,Discontinued
PRD00047,HomeFiber 803,Broadband,,186.56,N/A,N/A,803.74,2023-08-21,SkyCell Telecom,Discontinued
PRD00048,DataMax 1302,Postpaid,84.0,408.22,1000 mins,500 total,1302.11,2022-01-10,NextWave Communications,Active
PRD00049,NetBoost 836,Postpaid,365.0,329.49,Unlimited,100/day,836.29,2024-10-15,BharatNet Mobile,Discontinued
PRD00050,IoTLink 2177,Postpaid,56.0,171.85,1000 mins,500 total,2177.42,2021-02-06,NextWave Communications,Active
PRD00051,SmartBiz 1738,Business,,,N/A,N/A,1738.18,2021-01-05,SkyCell Telecom,Active
PRD00052,UltraConnect 2050,IoT Solutions,,,N/A,N/A,2050.3,2021-12-03,IndiTel Communications,Active
PRD00053,SuperTalk 1764,Postpaid,365.0,463.4,500 mins,100/day,1764.51,2020-08-25,SkyCell Telecom,Discontinued
PRD00054,IoTLink 1963,Postpaid,365.0,178.97,500 mins,N/A,1963.74,2022-07-13,IndiTel Communications,Discontinued
PRD00055,DataMax 2486,Broadband,,225.06,N/A,500 total,2486.34,2020-06-24,NextWave Communications,Discontinued
PRD00056,IoTLink 1676,Broadband,,423.6,N/A,500 total,1676.73,2024-02-17,BharatNet Mobile,Active
PRD00057,SuperTalk 1572,Broadband,,262.26,N/A,N/A,1572.44,2020-11-03,SkyCell Telecom,Discontinued
PRD00058,DataMax 1297,Postpaid,28.0,276.93,1500 mins,500 total,1297.81,2021-01-19,SkyCell Telecom,Discontinued
PRD00059,IoTLink 523,IoT Solutions,,,N/A,500 total,523.41,2024-07-12,IndiTel Communications,Discontinued
PRD00060,ValuePlus 1991,Prepaid,56.0,402.97,Unlimited,N/A,1991.49,2022-04-16,SkyCell Telecom,Discontinued
PRD00061,NetBoost 634,Broadband,,165.16,N/A,100/day,634.99,2021-05-30,NextWave Communications,Discontinued
PRD00062,SmartBiz 1153,Business,,,N/A,500 total,1153.54,2022-11-13,SkyCell Telecom,Discontinued
PRD00063,UltraConnect 263,Business,,,N/A,N/A,263.33,2024-03-06,IndiTel Communications,Active
PRD00064,DataMax 1889,Prepaid,28.0,61.47,Unlimited,100/day,1889.91,2022-12-05,SkyCell Telecom,Active
PRD00065,UltraConnect 2178,Postpaid,365.0,467.86,500 mins,50/day,2178.22,2022-05-03,SkyCell Telecom,Active
PRD00066,DataMax 209,Business,,,N/A,100/day,209.89,2021-09-24,NextWave Communications,Active
PRD00067,UltraConnect 2394,Prepaid,56.0,266.23,1000 mins,N/A,2394.09,2022-11-19,BharatNet Mobile,Discontinued
PRD00068,NetBoost 1656,Postpaid,84.0,396.36,500 mins,50/day,1656.9,2023-02-13,SkyCell Telecom,Active
PRD00069,SmartBiz 181,IoT Solutions,,,N/A,500 total,181.4,2021-02-17,IndiTel Communications,Active
PRD00070,NetBoost 905,Prepaid,84.0,165.52,1500 mins,500 total,905.26,2022-11-20,NextWave Communications,Discontinued
PRD00071,SmartBiz 2356,Business,,,N/A,500 total,2356.98,2020-04-27,NextWave Communications,Active
PRD00072,DataMax 600,Broadband,,366.54,N/A,N/A,600.34,2022-10-15,NextWave Communications,Active
PRD00073,UltraConnect 1429,Broadband,,474.78,N/A,50/day,1429.79,2023-06-12,BharatNet Mobile,Discontinued
PRD00074,DataMax 1085,Postpaid,365.0,300.61,1500 mins,500 total,1085.55,2022-08-19,NextWave Communications,Discontinued
PRD00075,DataMax 958,Postpaid,365.0,68.79,1500 mins,N/A,958.99,2020-01-11,BharatNet Mobile,Discontinued
PRD00076,UltraConnect 105,Postpaid,84.0,98.33,500 mins,100/day,105.88,2022-11-28,NextWave Communications,Discontinued
PRD00077,ValuePlus 681,Postpaid,56.0,288.56,1500 mins,500 total,681.63,2020-09-09,BharatNet Mobile,Active
PRD00078,NetBoost 1534,IoT Solutions,,,N/A,500 total,1534.88,2021-01-16,NextWave Communications,Discontinued
PRD00079,UltraConnect 2195,IoT Solutions,,,N/A,100/day,2195.08,2021-02-18,SkyCell Telecom,Discontinued
PRD00080,SuperTalk 1470,Broadband,,229.12,N/A,50/day,1470.3,2024-05-26,SkyCell Telecom,Discontinued
PRD00081,UltraConnect 2162,Business,,,N/A,N/A,2162.83,2020-09-22,IndiTel Communications,Discontinued
PRD00082,HomeFiber 1918,Prepaid,56.0,376.81,1000 mins,N/A,1918.88,2022-05-14,NextWave Communications,Discontinued
PRD00083,IoTLink 1972,Business,,,N/A,100/day,1972.97,2024-06-05,BharatNet Mobile,Discontinued
PRD00084,IoTLink 950,Postpaid,84.0,92.81,1000 mins,50/day,950.48,2020-04-22,SkyCell Telecom,Discontinued
PRD00085,SuperTalk 1904,Postpaid,365.0,461.67,1500 mins,50/day,1904.3,2021-04-08,IndiTel Communications,Active
PRD00086,ValuePlus 1315,IoT Solutions,,,N/A,100/day,1315.41,2023-08-28,BharatNet Mobile,Discontinued
PRD00087,SuperTalk 1684,Broadband,,388.23,N/A,N/A,1684.54,2024-05-30,NextWave Communications,Active
PRD00088,HomeFiber 908,Prepaid,56.0,409.36,1000 mins,50/day,908.76,2020-08-29,IndiTel Communications,Discontinued
PRD00089,DataMax 803,Prepaid,56.0,451.39,1000 mins,50/day,803.38,2022-12-01,IndiTel Communications,Active
PRD00090,UltraConnect 2093,Broadband,,215.54,N/A,50/day,2093.84,2022-05-31,BharatNet Mobile,Active
PRD00091,UltraConnect 2145,IoT Solutions,,,N/A,500 total,2145.14,2022-07-26,IndiTel Communications,Active
PRD00092,HomeFiber 1515,Broadband,,1.57,N/A,50/day,1515.71,2020-01-11,BharatNet Mobile,Active
PRD00093,UltraConnect 2373,Postpaid,56.0,358.78,Unlimited,100/day,2373.14,2024-02-22,IndiTel Communications,Active
PRD00094,IoTLink 1086,Broadband,,255.17,N/A,100/day,1086.04,2020-08-09,NextWave Communications,Discontinued
PRD00095,HomeFiber 368,Broadband,,316.25,N/A,500 total,368.28,2020-04-18,SkyCell Telecom,Discontinued
PRD00096,DataMax 1412,Broadband,,161.65,N/A,N/A,1412.26,2023-03-07,IndiTel Communications,Discontinued
PRD00097,HomeFiber 1320,Business,,,N/A,100/day,1320.52,2021-10-22,NextWave Communications,Active
PRD00098,UltraConnect 943,IoT Solutions,,,N/A,50/day,943.04,2021-12-10,SkyCell Telecom,Active
PRD00099,NetBoost 2024,Business,,,N/A,500 total,2024.82,2020-08-20,IndiTel Communications,Discontinued
PRD00100,IoTLink 1864,Postpaid,84.0,217.56,Unlimited,N/A,1864.85,2023-09-14,IndiTel Communications,Discontinued
PRD00101,SmartBiz 596,Business,,,N/A,500 total,596.16,2020-05-27,IndiTel Communications,Active
PRD00102,NetBoost 1111,Prepaid,84.0,24.79,1000 mins,100/day,1111.26,2023-05-09,SkyCell Telecom,Active
PRD00103,SuperTalk 327,Postpaid,365.0,377.68,1500 mins,100/day,327.73,2022-09-23,NextWave Communications,Active
PRD00104,DataMax 1514,Postpaid,28.0,137.17,1000 mins,50/day,1514.02,2023-01-21,SkyCell Telecom,Discontinued
PRD00105,IoTLink 1220,Postpaid,84.0,280.19,Unlimited,100/day,1220.9,2021-05-08,SkyCell Telecom,Discontinued
PRD00106,ValuePlus 1653,Prepaid,84.0,63.5,500 mins,100/day,1653.24,2022-05-11,IndiTel Communications,Active
PRD00107,SuperTalk 1004,Postpaid,84.0,103.96,Unlimited,N/A,1004.8,2024-07-30,SkyCell Telecom,Discontinued
PRD00108,SuperTalk 1756,Prepaid,84.0,496.7,1000 mins,50/day,1756.11,2023-03-30,BharatNet Mobile,Active
PRD00109,SuperTalk 1512,Postpaid,84.0,463.06,500 mins,50/day,1512.91,2024-11-27,IndiTel Communications,Active
PRD00110,ValuePlus 174,Broadband,,73.47,N/A,N/A,174.59,2020-03-14,IndiTel Communications,Discontinued
PRD00111,SmartBiz 704,Business,,,N/A,50/day,704.46,2020-06-29,NextWave Communications,Active
PRD00112,NetBoost 372,Prepaid,84.0,58.18,1500 mins,N/A,372.95,2021-03-29,IndiTel Communications,Discontinued
PRD00113,NetBoost 401,Broadband,,455.15,N/A,N/A,401.1,2022-03-28,BharatNet Mobile,Active
PRD00114,DataMax 1296,Postpaid,84.0,340.51,500 mins,N/A,1296.39,2021-05-01,IndiTel Communications,Active
PRD00115,ValuePlus 467,Business,,,N/A,N/A,467.88,2021-06-28,BharatNet Mobile,Discontinued
PRD00116,SuperTalk 1334,Business,,,N/A,50/day,1334.35,2021-05-30,BharatNet Mobile,Active
PRD00117,HomeFiber 1418,Business,,,N/A,50/day,1418.53,2024-08-30,NextWave Communications,Discontinued
PRD00118,DataMax 2426,Broadband,,299.04,N/A,50/day,2426.45,2024-05-27,BharatNet Mobile,Discontinued
PRD00119,UltraConnect 2198,IoT Solutions,,,N/A,500 total,2198.12,2024-01-01,BharatNet Mobile,Active
PRD00120,HomeFiber 1155,Prepaid,365.0,397.2,1000 mins,50/day,1155.1,2024-10-22,NextWave Communications,Active
PRD00121,UltraConnect 460,Prepaid,56.0,77.38,500 mins,N/A,460.31,2024-09-11,SkyCell Telecom,Active
PRD00122,DataMax 1909,Broadband,,4.86,N/A,50/day,1909.3,2022-06-18,NextWave Communications,Discontinued
PRD00123,DataMax 2333,Postpaid,28.0,226.36,Unlimited,N/A,2333.91,2024-03-13,SkyCell Telecom,Active
PRD00124,NetBoost 1917,Broadband,,21.11,N/A,500 total,1917.9,2021-03-09,NextWave Communications,Discontinued
PRD00125,UltraConnect 955,IoT Solutions,,,N/A,100/day,955.87,2020-04-22,IndiTel Communications,Discontinued
PRD00126,SuperTalk 815,Prepaid,365.0,183.61,500 mins,500 total,815.55,2021-04-23,BharatNet Mobile,Discontinued
PRD00127,SuperTalk 2398,Postpaid,365.0,311.57,1500 mins,N/A,2398.28,2021-12-01,NextWave Communications,Discontinued
PRD00128,DataMax 1453,Prepaid,28.0,14.01,Unlimited,50/day,1453.9,2021-04-19,NextWave Communications,Active
PRD00129,SuperTalk 2404,Business,,,N/A,N/A,2404.31,2021-10-04,SkyCell Telecom,Active
PRD00130,NetBoost 304,Postpaid,84.0,92.57,1500 mins,N/A,304.7,2021-01-12,SkyCell Telecom,Active
PRD00131,HomeFiber 2163,Postpaid,84.0,292.59,1000 mins,100/day,2163.01,2022-06-22,SkyCell Telecom,Discontinued
PRD00132,NetBoost 607,Prepaid,56.0,465.48,1000 mins,50/day,607.58,2021-12-02,BharatNet Mobile,Active
PRD00133,SmartBiz 2012,Business,,,N/A,500 total,2012.69,2021-11-12,NextWave Communications,Discontinued
PRD00134,DataMax 2209,Postpaid,28.0,465.48,Unlimited,50/day,2209.51,2022-02-25,NextWave Communications,Discontinued
PRD00135,SuperTalk 366,Business,,,N/A,500 total,366.21,2021-06-06,NextWave Communications,Discontinued
PRD00136,DataMax 1496,Prepaid,56.0,342.86,1500 mins,500 total,1496.68,2023-07-26,NextWave Communications,Discontinued
PRD00137,SuperTalk 1403,Broadband,,468.29,N/A,N/A,1403.33,2022-07-03,BharatNet Mobile,Discontinued
PRD00138,IoTLink 504,Broadband,,85.15,N/A,N/A,504.31,2021-01-26,IndiTel Communications,Active
PRD00139,DataMax 235,Prepaid,365.0,246.11,1500 mins,N/A,235.36,2023-10-16,SkyCell Telecom,Discontinued
PRD00140,UltraConnect 1828,IoT Solutions,,,N/A,500 total,1828.25,2023-10-13,IndiTel Communications,Discontinued
PRD00141,UltraConnect 2040,Broadband,,382.56,N/A,50/day,2040.41,2024-11-01,BharatNet Mobile,Active
PRD00142,NetBoost 1001,Postpaid,56.0,297.06,500 mins,N/A,1001.83,2024-08-29,BharatNet Mobile,Active
PRD00143,SmartBiz 1287,IoT Solutions,,,N/A,100/day,1287.78,2021-10-21,SkyCell Telecom,Active
PRD00144,SmartBiz 2186,Postpaid,28.0,407.36,1500 mins,500 total,2186.4,2024-08-13,BharatNet Mobile,Discontinued
PRD00145,SuperTalk 1108,Postpaid,56.0,409.73,500 mins,500 total,1108.92,2023-10-06,SkyCell Telecom,Discontinued
PRD00146,IoTLink 986,Broadband,,20.61,N/A,100/day,986.51,2021-10-13,SkyCell Telecom,Active
PRD00147,DataMax 2342,Broadband,,213.32,N/A,50/day,2342.44,2020-03-28,BharatNet Mobile,Active
PRD00148,ValuePlus 2384,Postpaid,84.0,201.68,1500 mins,N/A,2384.44,2022-06-26,SkyCell Telecom,Active
PRD00149,SuperTalk 1806,Postpaid,56.0,254.14,1000 mins,N/A,1806.03,2023-05-09,IndiTel Communications,Discontinued
PRD00150,SmartBiz 705,Prepaid,28.0,138.63,500 mins,100/day,705.9,2021-06-25,SkyCell Telecom,Active
PRD00151,IoTLink 966,Broadband,,387.21,N/A,50/day,966.02,2022-04-11,NextWave Communications,Discontinued
PRD00152,HomeFiber 1390,Business,,,N/A,500 total,1390.8,2020-07-06,NextWave Communications,Active
PRD00153,SuperTalk 2205,Broadband,,362.55,N/A,N/A,2205.34,2020-07-06,SkyCell Telecom,Active
PRD00154,SuperTalk 1667,Prepaid,56.0,479.45,500 mins,N/A,1667.9,2023-10-14,BharatNet Mobile,Discontinued
PRD00155,DataMax 195,Business,,,N/A,500 total,195.7,2022-06-26,NextWave Communications,Active
PRD00156,ValuePlus 2146,Broadband,,20.78,N/A,50/day,2146.35,2022-11-15,BharatNet Mobile,Active
PRD00157,NetBoost 274,Prepaid,84.0,9.27,Unlimited,100/day,274.62,2020-07-15,BharatNet Mobile,Discontinued
PRD00158,HomeFiber 1296,Prepaid,28.0,483.14,Unlimited,500 total,1296.83,2023-11-22,IndiTel Communications,Discontinued
PRD00159,ValuePlus 2151,IoT Solutions,,,N/A,100/day,2151.54,2020-07-02,SkyCell Telecom,Active
PRD00160,SuperTalk 2087,Postpaid,84.0,45.03,Unlimited,N/A,2087.59,2023-04-25,SkyCell Telecom,Discontinued
PRD00161,SmartBiz 2071,Broadband,,486.96,N/A,100/day,2071.11,2024-08-07,IndiTel Communications,Active
PRD00162,UltraConnect 388,Business,,,N/A,50/day,388.02,2024-10-18,BharatNet Mobile,Discontinued
PRD00163,HomeFiber 1995,Prepaid,84.0,208.7,Unlimited,100/day,1995.58,2023-08-22,IndiTel Communications,Active
PRD00164,UltraConnect 588,Prepaid,28.0,112.08,Unlimited,N/A,588.04,2022-05-30,SkyCell Telecom,Discontinued
PRD00165,IoTLink 261,Prepaid,56.0,398.25,1500 mins,N/A,261.52,2020-12-22,BharatNet Mobile,Discontinued
PRD00166,DataMax 2289,IoT Solutions,,,N/A,50/day,2289.91,2021-01-20,NextWave Communications,Active
PRD00167,ValuePlus 2391,Business,,,N/A,500 total,2391.66,2022-09-11,SkyCell Telecom,Active
PRD00168,NetBoost 1628,Broadband,,128.51,N/A,50/day,1628.97,2024-11-10,NextWave Communications,Discontinued
PRD00169,NetBoost 284,Broadband,,207.7,N/A,50/day,284.99,2022-08-31,NextWave Communications,Discontinued
PRD00170,NetBoost 2225,IoT Solutions,,,N/A,50/day,2225.3,2024-09-05,NextWave Communications,Active
PRD00171,IoTLink 2081,Postpaid,84.0,346.26,500 mins,500 total,2081.99,2022-08-02,IndiTel Communications,Active
PRD00172,NetBoost 2240,Prepaid,28.0,80.67,Unlimited,N/A,2240.04,2020-02-24,IndiTel Communications,Active
PRD00173,HomeFiber 1436,IoT Solutions,,,N/A,N/A,1436.95,2020-09-24,BharatNet Mobile,Discontinued
PRD00174,SuperTalk 2229,Postpaid,84.0,414.52,Unlimited,100/day,2229.34,2021-02-10,NextWave Communications,Discontinued
PRD00175,ValuePlus 313,IoT Solutions,,,N/A,50/day,313.9,2020-03-19,SkyCell Telecom,Discontinued
PRD00176,UltraConnect 2011,Prepaid,84.0,313.28,1500 mins,100/day,2011.35,2022-10-21,BharatNet Mobile,Active
PRD00177,SuperTalk 578,Broadband,,357.78,N/A,100/day,578.36,2020-03-01,IndiTel Communications,Active
PRD00178,IoTLink 1593,Postpaid,28.0,344.99,1500 mins,500 total,1593.16,2020-03-14,BharatNet Mobile,Active
PRD00179,DataMax 2463,Postpaid,365.0,408.69,Unlimited,100/day,2463.06,2021-05-08,BharatNet Mobile,Active
PRD00180,HomeFiber 1283,IoT Solutions,,,N/A,50/day,1283.22,2021-11-03,BharatNet Mobile,Discontinued
PRD00181,HomeFiber 2316,Postpaid,365.0,330.74,1500 mins,500 total,2316.07,2021-01-25,NextWave Communications,Discontinued
PRD00182,SuperTalk 2153,Business,,,N/A,500 total,2153.9,2023-01-25,IndiTel Communications,Active
PRD00183,SuperTalk 1829,Postpaid,28.0,474.87,500 mins,100/day,1829.4,2022-02-21,BharatNet Mobile,Active
PRD00184,UltraConnect 359,IoT Solutions,,,N/A,500 total,359.07,2022-12-05,BharatNet Mobile,Active
PRD00185,UltraConnect 845,Broadband,,334.92,N/A,N/A,845.55,2022-08-16,SkyCell Telecom,Discontinued
PRD00186,NetBoost 1366,Postpaid,56.0,426.19,500 mins,N/A,1366.62,2021-08-10,BharatNet Mobile,Discontinued
PRD00187,SmartBiz 1857,Prepaid,365.0,73.43,1000 mins,100/day,1857.63,2024-08-06,NextWave Communications,Discontinued
PRD00188,IoTLink 1886,Postpaid,28.0,106.43,Unlimited,N/A,1886.9,2020-03-17,BharatNet Mobile,Active
PRD00189,SuperTalk 1989,Broadband,,339.96,N/A,N/A,1989.33,2021-11-30,BharatNet Mobile,Active
PRD00190,UltraConnect 1306,IoT Solutions,,,N/A,500 total,1306.24,2022-02-09,BharatNet Mobile,Discontinued
PRD00191,DataMax 755,Broadband,,273.79,N/A,500 total,755.42,2024-12-05,BharatNet Mobile,Active
PRD00192,ValuePlus 452,IoT Solutions,,,N/A,500 total,452.85,2020-08-24,IndiTel Communications,Active
PRD00193,ValuePlus 418,Broadband,,331.58,N/A,50/day,418.43,2020-08-22,BharatNet Mobile,Discontinued
PRD00194,SmartBiz 1177,Broadband,,475.63,N/A,50/day,1177.55,2024-06-17,IndiTel Communications,Discontinued
PRD00195,DataMax 414,Business,,,N/A,500 total,414.77,2023-02-23,SkyCell Telecom,Discontinued
PRD00196,DataMax 1967,Postpaid,365.0,17.42,1500 mins,N/A,1967.32,2021-05-28,NextWave Communications,Active
PRD00197,ValuePlus 308,Business,,,N/A,100/day,308.0,2021-11-09,BharatNet Mobile,Active
PRD00198,UltraConnect 2114,Prepaid,28.0,264.69,1000 mins,50/day,2114.84,2021-01-05,BharatNet Mobile,Discontinued
PRD00199,SuperTalk 2314,Prepaid,56.0,265.86,Unlimited,500 total,2314.05,2020-04-02,IndiTel Communications,Active
PRD00200,IoTLink 2322,Postpaid,56.0,246.03,1500 mins,50/day,2322.21,2024-03-12,NextWave Communications,Active
PRD00201,HomeFiber 528,IoT Solutions,,,N/A,100/day,528.49,2022-05-17,NextWave Communications,Discontinued
PRD00202,HomeFiber 539,Broadband,,15.02,N/A,500 total,539.69,2021-05-08,IndiTel Communications,Discontinued
PRD00203,NetBoost 2122,Prepaid,84.0,78.3,500 mins,50/day,2122.96,2021-08-30,BharatNet Mobile,Active
PRD00204,NetBoost 802,Prepaid,28.0,149.47,1500 mins,500 total,802.73,2021-02-17,IndiTel Communications,Discontinued
PRD00205,SmartBiz 2366,Prepaid,84.0,405.48,1500 mins,500 total,2366.44,2024-09-18,IndiTel Communications,Active
PRD00206,IoTLink 456,Prepaid,28.0,367.19,1000 mins,100/day,456.18,2020-05-20,IndiTel Communications,Active
PRD00207,ValuePlus 969,Business,,,N/A,100/day,969.07,2021-06-12,NextWave Communications,Discontinued
PRD00208,HomeFiber 1473,Business,,,N/A,100/day,1473.5,2024-12-19,BharatNet Mobile,Discontinued
PRD00209,DataMax 298,Prepaid,365.0,190.84,1500 mins,N/A,298.96,2023-09-03,NextWave Communications,Active
PRD00210,SuperTalk 216,Postpaid,84.0,437.44,1500 mins,N/A,216.26,2024-01-08,NextWave Communications,Discontinued
PRD00211,IoTLink 612,Business,,,N/A,500 total,612.96,2022-06-19,BharatNet Mobile,Active
PRD00212,IoTLink 1497,IoT Solutions,,,N/A,50/day,1497.78,2020-10-20,SkyCell Telecom,Discontinued
PRD00213,IoTLink 1333,IoT Solutions,,,N/A,500 total,1333.05,2021-01-25,SkyCell Telecom,Active
PRD00214,ValuePlus 1713,Prepaid,56.0,176.43,1000 mins,100/day,1713.14,2023-03-26,IndiTel Communications,Active
PRD00215,SmartBiz 813,Broadband,,304.36,N/A,100/day,813.72,2020-09-16,IndiTel Communications,Discontinued
PRD00216,SmartBiz 499,Prepaid,28.0,79.26,Unlimited,500 total,499.23,2023-12-27,SkyCell Telecom,Discontinued
PRD00217,UltraConnect 1735,Business,,,N/A,N/A,1735.43,2024-06-22,IndiTel Communications,Active
PRD00218,UltraConnect 1978,Prepaid,365.0,179.58,Unlimited,500 total,1978.7,2022-02-05,SkyCell Telecom,Active
PRD00219,HomeFiber 1704,Postpaid,84.0,87.23,Unlimited,100/day,1704.94,2022-06-19,SkyCell Telecom,Active
PRD00220,HomeFiber 2296,Postpaid,28.0,499.16,500 mins,50/day,2296.06,2020-11-14,SkyCell Telecom,Discontinued
PRD00221,ValuePlus 2001,Business,,,N/A,50/day,2001.99,2024-03-01,NextWave Communications,Discontinued
PRD00222,HomeFiber 2240,IoT Solutions,,,N/A,N/A,2240.71,2024-01-10,BharatNet Mobile,Active
PRD00223,SuperTalk 160,Business,,,N/A,500 total,160.99,2021-07-18,SkyCell Telecom,Active
PRD00224,HomeFiber 2421,Business,,,N/A,N/A,2421.13,2022-10-02,NextWave Communications,Active
PRD00225,NetBoost 969,Broadband,,64.24,N/A,N/A,969.99,2022-11-20,IndiTel Communications,Active
PRD00226,ValuePlus 1881,IoT Solutions,,,N/A,N/A,1881.66,2021-09-23,IndiTel Communications,Active
PRD00227,NetBoost 2008,Broadband,,126.87,N/A,50/day,2008.12,2021-01-23,SkyCell Telecom,Discontinued
PRD00228,NetBoost 1399,Prepaid,28.0,336.31,500 mins,50/day,1399.03,2024-03-17,SkyCell Telecom,Discontinued
PRD00229,SmartBiz 2096,Prepaid,365.0,469.05,500 mins,500 total,2096.11,2021-08-24,BharatNet Mobile,Discontinued
